tag;subject;activity;finalPosX;finalPosY;finalPosZ;desPosX;desPosY;desPosZ;rawPosX;rawPosY;rawPosZ;finalRotX;finalRotY;finalRotZ;finalRotW;desRotX;desRotY;desRotZ;desRotW;rawRotX;rawRotY;rawRotZ;rawRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_11;Krieger_1;-0.00097688;-0.0262807;0.999654;0;0;0;0;0;0;0.676638;-0.029487;-0.00491556;-0.029487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
hip;Subject_11;Krieger_1;0.0110652;-0.0362922;0.99928;0;0;0;0;0;0;0.475988;-0.0084133;-0.0284418;-0.0084133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
lHand;Subject_11;Krieger_1;0.388186;-0.0668771;0.919151;0;0;0;0;0;0;0.293572;0.574533;-0.756149;0.574533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
rHand;Subject_11;Krieger_1;-0.407866;-0.072831;0.910132;0;0;0;0;0;0;0.314503;-0.603462;0.720706;-0.603462;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
lFoot;Subject_11;Krieger_1;0.591942;0.238501;0.769885;0;0;0;0;0;0;-0.79622;0.0705866;-0.0759702;0.0705866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
rFoot;Subject_11;Krieger_1;-0.849874;0.193246;0.490275;0;0;0;0;0;0;-0.978701;0.0367051;0.0679125;0.0367051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.369
head;Subject_11;Krieger_1;-0.00100725;-0.0263833;0.999651;0;0;0;0;0;0;0.676793;-0.029555;-0.00521211;-0.029555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
hip;Subject_11;Krieger_1;0.0109553;-0.0359697;0.999293;0;0;0;0;0;0;0.476609;-0.00867423;-0.0287453;-0.00867423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
lHand;Subject_11;Krieger_1;0.387577;-0.066877;0.919408;0;0;0;0;0;0;0.293222;0.574359;-0.756737;0.574359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
rHand;Subject_11;Krieger_1;-0.408125;-0.0721935;0.910067;0;0;0;0;0;0;0.314072;-0.603357;0.720944;-0.603357;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
lFoot;Subject_11;Krieger_1;0.591981;0.238162;0.769959;0;0;0;0;0;0;-0.79612;0.0707907;-0.0762099;0.0707907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
rFoot;Subject_11;Krieger_1;-0.850141;0.193223;0.489822;0;0;0;0;0;0;-0.978738;0.0367009;0.0676545;0.0367009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.381
head;Subject_11;Krieger_1;-0.00105351;-0.0265195;0.999648;0;0;0;0;0;0;0.676924;-0.0295172;-0.00540505;-0.0295172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.394
hip;Subject_11;Krieger_1;0.0108924;-0.0356146;0.999306;0;0;0;0;0;0;0.477398;-0.00903394;-0.0292024;-0.00903394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.394
lHand;Subject_11;Krieger_1;0.387057;-0.0670163;0.919617;0;0;0;0;0;0;0.292294;0.574191;-0.757619;0.574191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.394
rHand;Subject_11;Krieger_1;-0.408295;-0.0715597;0.910041;0;0;0;0;0;0;0.313644;-0.603563;0.721008;-0.603563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.394
lFoot;Subject_11;Krieger_1;0.592222;0.237627;0.769939;0;0;0;0;0;0;-0.795848;0.0711596;-0.0766628;0.0711596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;975.394
