tag;subject;activity;finalPosX;finalPosY;finalPosZ;desPosX;desPosY;desPosZ;rawPosX;rawPosY;rawPosZ;finalRotX;finalRotY;finalRotZ;finalRotW;desRotX;desRotY;desRotZ;desRotW;rawRotX;rawRotY;rawRotZ;rawRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_7;Krieger_1;0.0591043;-0.0940653;0.99381;0;0;0;0;0;0;0.698217;0.0021148;0.0065837;0.0021148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
hip;Subject_7;Krieger_1;0.175114;0.344587;0.922277;0;0;0;0;0;0;0.596017;0.050263;0.101914;0.050263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
lHand;Subject_7;Krieger_1;0.360541;-0.441691;0.821535;0;0;0;0;0;0;0.616535;0.163176;-0.392017;0.163176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
rHand;Subject_7;Krieger_1;-0.193016;-0.429161;0.882364;0;0;0;0;0;0;-0.485052;0.314009;-0.413042;0.314009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
lFoot;Subject_7;Krieger_1;0.840385;-0.483954;0.244011;0;0;0;0;0;0;-0.971468;0.185344;-0.0917619;0.185344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
rFoot;Subject_7;Krieger_1;-0.111633;-0.55335;0.825434;0;0;0;0;0;0;-0.983673;0.0182183;0.054697;0.0182183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.386
head;Subject_7;Krieger_1;0.0588974;-0.0939974;0.993829;0;0;0;0;0;0;0.698059;0.0031279;0.00730682;0.0031279;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
hip;Subject_7;Krieger_1;0.175114;0.344587;0.922277;0;0;0;0;0;0;0.596017;0.050263;0.101914;0.050263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
lHand;Subject_7;Krieger_1;0.362111;-0.440684;0.821385;0;0;0;0;0;0;0.615678;0.165311;-0.39394;0.165311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
rHand;Subject_7;Krieger_1;-0.194291;-0.427824;0.882733;0;0;0;0;0;0;-0.485431;0.316125;-0.414245;0.316125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
lFoot;Subject_7;Krieger_1;0.840233;-0.484005;0.244433;0;0;0;0;0;0;-0.971447;0.185538;-0.0916907;0.185538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
rFoot;Subject_7;Krieger_1;-0.111633;-0.55335;0.825434;0;0;0;0;0;0;-0.983673;0.0182183;0.054697;0.0182183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.396
head;Subject_7;Krieger_1;0.0587352;-0.0939427;0.993843;0;0;0;0;0;0;0.697817;0.00406715;0.00795279;0.00406715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.408
hip;Subject_7;Krieger_1;0.175114;0.344587;0.922277;0;0;0;0;0;0;0.596017;0.050263;0.101914;0.050263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.408
lHand;Subject_7;Krieger_1;0.363304;-0.439781;0.821342;0;0;0;0;0;0;0.614791;0.167236;-0.395677;0.167236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;604.408
