tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_6;Krieger_1;0.0541785;-0.19979;0.97834;0;0;0;0;0;0;0.721665;-0.0457653;-0.0113855;-0.0457653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
hip;Subject_6;Krieger_1;0.0827554;-0.267318;0.960048;0;0;0;0;0;0;0.551321;0.0174432;-0.0128689;0.0174432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
lHand;Subject_6;Krieger_1;0.289186;-0.422462;0.85901;0;0;0;0;0;0;-0.00132465;0.488524;-0.869535;0.488524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
rHand;Subject_6;Krieger_1;-0.15067;-0.404046;0.902244;0;0;0;0;0;0;-0.00124905;0.432741;-0.901393;0.432741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
lFoot;Subject_6;Krieger_1;0.536216;-0.824015;0.182953;0;0;0;0;0;0;-0.990262;-0.0145004;-0.0486762;-0.0145004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
rFoot;Subject_6;Krieger_1;-0.109769;-0.962394;0.248494;0;0;0;0;0;0;-0.983496;0.085504;0.0367775;0.085504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.717
head;Subject_6;Krieger_1;0.0541771;-0.199857;0.978326;0;0;0;0;0;0;0.721589;-0.0455508;-0.0115614;-0.0455508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
hip;Subject_6;Krieger_1;0.0827059;-0.267201;0.960085;0;0;0;0;0;0;0.551439;0.0173147;-0.0130521;0.0173147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
lHand;Subject_6;Krieger_1;0.289229;-0.422485;0.858984;0;0;0;0;0;0;-0.00139153;0.488337;-0.869671;0.488337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
rHand;Subject_6;Krieger_1;-0.151065;-0.404039;0.902182;0;0;0;0;0;0;-0.0010846;0.43283;-0.901299;0.43283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
lFoot;Subject_6;Krieger_1;0.536302;-0.82397;0.182905;0;0;0;0;0;0;-0.990259;-0.0145457;-0.0488057;-0.0145457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
rFoot;Subject_6;Krieger_1;-0.109781;-0.962409;0.24843;0;0;0;0;0;0;-0.983501;0.0854216;0.0368261;0.0854216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.729
head;Subject_6;Krieger_1;0.0542247;-0.199929;0.978309;0;0;0;0;0;0;0.721557;-0.0457254;-0.0115823;-0.0457254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
hip;Subject_6;Krieger_1;0.0826836;-0.267115;0.960111;0;0;0;0;0;0;0.551551;0.0171429;-0.0132801;0.0171429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
lHand;Subject_6;Krieger_1;0.28928;-0.422519;0.85895;0;0;0;0;0;0;-0.0015139;0.488152;-0.869821;0.488152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
rHand;Subject_6;Krieger_1;-0.15185;-0.403824;0.902146;0;0;0;0;0;0;3.29763e-05;0.432459;-0.901391;0.432459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
lFoot;Subject_6;Krieger_1;0.536329;-0.823948;0.182922;0;0;0;0;0;0;-0.990256;-0.0146891;-0.0488556;-0.0146891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
rFoot;Subject_6;Krieger_1;-0.109743;-0.962409;0.248445;0;0;0;0;0;0;-0.983501;0.0854214;0.0368531;0.0854214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.74
head;Subject_6;Krieger_1;0.0543104;-0.200008;0.978288;0;0;0;0;0;0;0.721623;-0.0460981;-0.0112713;-0.0460981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
hip;Subject_6;Krieger_1;0.0827306;-0.267072;0.960119;0;0;0;0;0;0;0.551795;0.0171282;-0.0132452;0.0171282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
lHand;Subject_6;Krieger_1;0.289362;-0.422571;0.858897;0;0;0;0;0;0;-0.0018231;0.488289;-0.869763;0.488289;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
rHand;Subject_6;Krieger_1;-0.152188;-0.403153;0.902389;0;0;0;0;0;0;0.00125962;0.431085;-0.901948;0.431085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
lFoot;Subject_6;Krieger_1;0.536314;-0.823961;0.18291;0;0;0;0;0;0;-0.990259;-0.0145878;-0.0486391;-0.0145878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
rFoot;Subject_6;Krieger_1;-0.109535;-0.96242;0.248495;0;0;0;0;0;0;-0.983498;0.0853728;0.036843;0.0853728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;481.752
