tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_3;Krieger_1;0.00533379;0.0197206;0.999791;0;0;0;0;0;0;0.61015;0.0116686;0.0775681;0.0116686;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
hip;Subject_3;Krieger_1;0.0140404;0.073378;0.997205;0;0;0;0;0;0;0.557953;0.0392788;0.0606104;0.0392788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
lForeArm;Subject_3;Krieger_1;0.460021;-0.23979;0.854916;0;0;0;0;0;0;0.260979;0.317669;-0.783318;0.317669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
rForeArm;Subject_3;Krieger_1;-0.244811;-0.314794;0.917045;0;0;0;0;0;0;-0.289315;0.192539;-0.759083;0.192539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
lFoot;Subject_3;Krieger_1;0.769998;0.501147;0.394911;0;0;0;0;0;0;-0.972366;-0.0813788;-0.0349924;-0.0813788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
rFoot;Subject_3;Krieger_1;-0.618299;0.468287;0.631201;0;0;0;0;0;0;-0.98682;0.0172029;0.0449326;0.0172029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.9
head;Subject_3;Krieger_1;0.00541747;0.0196987;0.999791;0;0;0;0;0;0;0.609673;0.0115546;0.0774476;0.0115546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
hip;Subject_3;Krieger_1;0.0141827;0.0731634;0.997219;0;0;0;0;0;0;0.557914;0.0388209;0.0602945;0.0388209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
lForeArm;Subject_3;Krieger_1;0.46;-0.24059;0.854703;0;0;0;0;0;0;0.262424;0.316856;-0.783664;0.316856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
rForeArm;Subject_3;Krieger_1;-0.244858;-0.314917;0.91699;0;0;0;0;0;0;-0.28936;0.192618;-0.759098;0.192618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
lFoot;Subject_3;Krieger_1;0.769911;0.501109;0.395129;0;0;0;0;0;0;-0.972277;-0.0813921;-0.0350876;-0.0813921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
rFoot;Subject_3;Krieger_1;-0.616171;0.469887;0.632092;0;0;0;0;0;0;-0.986731;0.0185793;0.0450903;0.0185793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.91
head;Subject_3;Krieger_1;0.0054861;0.0196646;0.999792;0;0;0;0;0;0;0.609344;0.0115001;0.0772921;0.0115001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
hip;Subject_3;Krieger_1;0.0141337;0.0729472;0.997236;0;0;0;0;0;0;0.557582;0.0389913;0.0603165;0.0389913;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
lForeArm;Subject_3;Krieger_1;0.459908;-0.241349;0.854538;0;0;0;0;0;0;0.263821;0.316073;-0.783963;0.316073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
rForeArm;Subject_3;Krieger_1;-0.245046;-0.314932;0.916935;0;0;0;0;0;0;-0.289407;0.192818;-0.759086;0.192818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
lFoot;Subject_3;Krieger_1;0.770057;0.500843;0.395182;0;0;0;0;0;0;-0.97228;-0.0808809;-0.0352175;-0.0808809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
rFoot;Subject_3;Krieger_1;-0.616578;0.469381;0.632071;0;0;0;0;0;0;-0.98674;0.0182381;0.0449678;0.0182381;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.93
head;Subject_3;Krieger_1;0.0055841;0.019663;0.999791;0;0;0;0;0;0;0.609139;0.0113419;0.0771261;0.0113419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1461.94
