tag;subject;activity;rawPosX;rawPosY;rawPosZ;desPosX;desPosY;desPosZ;finalPosX;finalPosY;finalPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;desRotX;desRotY;desRotZ;desRotW;finalRotX;finalRotY;finalRotZ;finalRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_6;Krieger_1;0.0667363;-0.186666;0.980154;0;0;0;0;0;0;0.75097;-0.0289431;0.02295;-0.0289431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
hip;Subject_6;Krieger_1;0.103772;-0.256742;0.960893;0;0;0;0;0;0;0.53088;0.0187344;-0.0274056;0.0187344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
lForeArm;Subject_6;Krieger_1;0.333854;-0.408029;0.849738;0;0;0;0;0;0;-0.129666;0.443498;-0.882675;0.443498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
rForeArm;Subject_6;Krieger_1;-0.124427;-0.401299;0.907456;0;0;0;0;0;0;0.0269886;0.435383;-0.899618;0.435383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
lFoot;Subject_6;Krieger_1;0.581387;-0.793376;0.180401;0;0;0;0;0;0;-0.990462;-0.00275211;-0.048148;-0.00275211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
rFoot;Subject_6;Krieger_1;-0.0395411;-0.95832;0.282946;0;0;0;0;0;0;-0.980296;0.105983;0.0357879;0.105983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.885
head;Subject_6;Krieger_1;0.0667329;-0.18661;0.980165;0;0;0;0;0;0;0.751035;-0.028911;0.0228778;-0.028911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.896
hip;Subject_6;Krieger_1;0.103813;-0.256878;0.960852;0;0;0;0;0;0;0.530689;0.0187858;-0.0277589;0.0187858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.896
lForeArm;Subject_6;Krieger_1;0.334015;-0.408001;0.849688;0;0;0;0;0;0;-0.128194;0.442582;-0.883429;0.442582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.896
rForeArm;Subject_6;Krieger_1;-0.124796;-0.401235;0.907434;0;0;0;0;0;0;0.027353;0.4352;-0.899636;0.4352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;462.896
