tag;subject;activity;finalPosX;finalPosY;finalPosZ;desPosX;desPosY;desPosZ;rawPosX;rawPosY;rawPosZ;finalRotX;finalRotY;finalRotZ;finalRotW;desRotX;desRotY;desRotZ;desRotW;rawRotX;rawRotY;rawRotZ;rawRotW;rawAngVelX;rawAngVelY;rawAngVelZ;desAngVelX;desAngVelY;desAngVelZ;desAngVelW;rawLinVelX;rawLinVelY;rawLinVelZ;desLinVelX;desLinVelY;desLinVelZ;scale;time
head;Subject_10;Krieger_1;-0.0197296;0.0773608;0.996808;0;0;0;0;0;0;0.671433;0.0397458;-0.00833841;0.0397458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
hip;Subject_10;Krieger_1;-0.0557266;0.156601;0.986089;0;0;0;0;0;0;-0.499499;-0.0227188;-0.0201846;-0.0227188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
lHand;Subject_10;Krieger_1;0.364829;0.113318;0.924153;0;0;0;0;0;0;0.266315;0.593881;-0.750545;0.593881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
rHand;Subject_10;Krieger_1;-0.442483;0.00660246;0.896753;0;0;0;0;0;0;-0.214005;0.501483;-0.831475;0.501483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
lFoot;Subject_10;Krieger_1;0.250264;0.834472;0.490943;0;0;0;0;0;0;-0.9876;0.0176978;-0.0222776;0.0176978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
rFoot;Subject_10;Krieger_1;-0.669915;0.623326;0.403335;0;0;0;0;0;0;-0.989369;-0.0413087;0.0111241;-0.0413087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.627
head;Subject_10;Krieger_1;-0.0196711;0.0772914;0.996814;0;0;0;0;0;0;0.671538;0.0398325;-0.00825856;0.0398325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
hip;Subject_10;Krieger_1;-0.055727;0.156639;0.986082;0;0;0;0;0;0;-0.499645;-0.0225927;-0.0200686;-0.0225927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
lHand;Subject_10;Krieger_1;0.364985;0.113552;0.924063;0;0;0;0;0;0;0.26626;0.594175;-0.750324;0.594175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
rHand;Subject_10;Krieger_1;-0.442041;0.00669586;0.89697;0;0;0;0;0;0;-0.216299;0.502273;-0.830527;0.502273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
lFoot;Subject_10;Krieger_1;0.250403;0.834475;0.490866;0;0;0;0;0;0;-0.987589;0.0178411;-0.0222914;0.0178411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
rFoot;Subject_10;Krieger_1;-0.669414;0.62362;0.403711;0;0;0;0;0;0;-0.989362;-0.0414199;0.0111307;-0.0414199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.639
head;Subject_10;Krieger_1;-0.0196275;0.0772772;0.996816;0;0;0;0;0;0;0.671609;0.0398405;-0.00824973;0.0398405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
hip;Subject_10;Krieger_1;-0.0556971;0.156697;0.986075;0;0;0;0;0;0;-0.499665;-0.0225051;-0.0199067;-0.0225051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
lHand;Subject_10;Krieger_1;0.365066;0.113805;0.924;0;0;0;0;0;0;0.266154;0.594383;-0.750156;0.594383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
rHand;Subject_10;Krieger_1;-0.441741;0.00669186;0.897118;0;0;0;0;0;0;-0.219427;0.502443;-0.829621;0.502443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
lFoot;Subject_10;Krieger_1;0.25045;0.834483;0.490829;0;0;0;0;0;0;-0.987589;0.017888;-0.0223148;0.017888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
rFoot;Subject_10;Krieger_1;-0.669383;0.623701;0.403637;0;0;0;0;0;0;-0.989365;-0.0414889;0.011131;-0.0414889;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.65
head;Subject_10;Krieger_1;-0.019619;0.0772747;0.996817;0;0;0;0;0;0;0.671707;0.0400612;-0.00828969;0.0400612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
hip;Subject_10;Krieger_1;-0.0556719;0.156604;0.986091;0;0;0;0;0;0;-0.499436;-0.0224778;-0.0198553;-0.0224778;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
lHand;Subject_10;Krieger_1;0.365161;0.11383;0.923959;0;0;0;0;0;0;0.266244;0.594555;-0.749932;0.594555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
rHand;Subject_10;Krieger_1;-0.441906;0.00531901;0.897046;0;0;0;0;0;0;-0.22523;0.501105;-0.828328;0.501105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
lFoot;Subject_10;Krieger_1;0.250373;0.834463;0.490903;0;0;0;0;0;0;-0.987596;0.017756;-0.0223055;0.017756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
rFoot;Subject_10;Krieger_1;-0.669351;0.623695;0.403701;0;0;0;0;0;0;-0.989368;-0.0412245;0.0111489;-0.0412245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.661
head;Subject_10;Krieger_1;-0.0197232;0.077252;0.996816;0;0;0;0;0;0;0.671788;0.0403511;-0.00830167;0.0403511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.672
hip;Subject_10;Krieger_1;-0.0556334;0.156484;0.986112;0;0;0;0;0;0;-0.49932;-0.022487;-0.0197626;-0.022487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.672
lHand;Subject_10;Krieger_1;0.365018;0.114;0.923994;0;0;0;0;0;0;0.266178;0.594679;-0.749836;0.594679;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.672
rHand;Subject_10;Krieger_1;-0.441659;0.00371996;0.897175;0;0;0;0;0;0;-0.229483;0.500243;-0.827021;0.500243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;522.672
